,Player ID,Player Name,Total (Year),Total (Overall),% of Total
1, Hao,"Chen, Zhihao",1112281.00,1761646.83,63.14%
2, Banana,"Jiao, Wang",1112281.00,1279561.36,86.93%
3, Mu,"Zhang, Pan",1098069.22,1390711.71,78.96%
4, SanSheng,"Wang, Zhaohui",1098069.22,1218081.38,90.15%
5, xiao8,"Zhang, Ning",1032369.95,1824534.96,56.58%
6, fy,"Xu, Linsen",380809.65,2138733.44,17.81%
7, Fenrir,"Lu, Chao",380809.65,1374082.28,27.71%
8, Super,"Xie, Junhao",380745.48,1578297.98,24.12%
9, iceiceice,"Koh, Daryl Pei Xiang",319366.63,1377071.76,23.19%
10, Sylar,"Liu, Jiajun",314277.65,1177489.00,26.69%
11, ppd,Peter Dager,312893.63,2896266.36,10.80%
12, Arteezy,Artour Babaev,312893.63,1853442.81,16.88%
13, UNiVeRsE,Saahil Arora,311893.63,3030735.67,10.29%
14, Zai,Ludwig W?hlberg,311893.63,1690062.05,18.45%
15, rOtK,"Bai, Fan",307128.87,800163.91,38.38%
16, MMY!,"Lei, Zengrong",256139.33,1112600.81,23.02%
17, Mushi,"Chai, Yee Fung",248900.16,1019063.42,24.42%
18, LaNm,"Zhang, Zhicheng",245685.86,1167609.91,21.04%
19, BurNIng,"Xu, Zhilei",245685.86,894602.63,27.46%
20, mason,Mason Venne,231961.93,323930.36,71.61%
21, PawN,"Heo, Won Seok",224294.45,435240.64,51.53%
22, Looper,"Jang, Hyeong Seok",223769.37,346307.48,64.62%
23, DanDy,"Choi, In Kyu",223769.37,281150.19,79.59%
24, imp,"Gu, Seung Bin",223177.74,299730.28,74.46%
25, Mata,"Cho, Se Hyeong",221918.20,436207.64,50.87%
26, Rabbit,"Zhang, Wang",219978.31,270410.27,81.35%
27, EternaLEnVy,Jacky Mao,218098.03,944599.69,23.09%
28, Aui_2000,Kurtis Ling,215791.69,1973978.04,10.93%
29, pieliedie,Johan ?str?m,211791.69,832121.51,25.45%
30, bOne7,Pittner Armand,204594.69,327085.89,62.55%
31, KuroKy,Kuro Takhasomi,189893.70,4098926.95,4.63%
32, Puppey,Clement Ivanov,189893.70,2029249.83,9.36%
33, Faith,"Zeng, Hongda",187522.20,1740145.81,10.78%
34, Ferrari_430,"Luo, Feichi",186539.50,578798.48,32.23%
35, SingSing,Weh Sing Yuen,178174.39,214158.69,83.20%
36, YYF,"Jiang, Cen",177068.73,443434.96,39.93%
37, ChuaN,"Wong, Hock Chuan",171666.48,740982.93,23.17%
38, Xi,"Luo, Yinqi",171666.48,296676.15,57.86%
39, Dendi,Danil Ishutin,168494.11,794357.60,21.21%
40, XBOCT,Oleksandr Dashkevych,167940.71,650928.49,25.80%
41, Funn1k,Gleb Lipatnikov,166709.11,400137.75,41.66%
42, DD,"Xie, Bin",149609.58,203498.01,73.52%
43, Yao,"Yao, Zhengzheng",148023.05,1190497.56,12.43%
44, Life,"Lee, Seung Hyun",147449.44,475900.67,30.98%
45, DDC,"Liang, Fa Ming",147358.18,1333773.07,11.05%
46, Lin,"Xu, Ziyang",141699.50,180377.06,78.56%
47, Zest,"Joo, Sung Wook",141681.16,417610.82,33.93%
48, sOs,"Kim, Yoo Jin",139332.68,588428.47,23.68%
49, MMA,"Moon, Sung Won",126223.65,407169.17,31.00%
50, Crimsix,Ian Porter,125053.01,682651.14,18.32%
51, Aches,Patrick Price,122354.26,450431.76,27.16%
52, Karma,Damon Barlow,121369.26,707022.25,17.17%
53, Teepee,Tyler Polchow,119653.01,230712.03,51.86%
54, Firebat,James Kostesich,105736.06,231053.10,45.76%
55, Tiddler Celestial,"Wang, Xieyu",101344.99,165348.34,61.29%
56, Classic,"Kim, Doh Woo",99701.82,391206.01,25.49%
57, LiBo,"Li, Bo",99350.90,100759.37,98.60%
58, s4,Gustav Magnusson,97541.19,2186343.71,4.46%
59, INnoVation,"Lee, Shin Hyung",95917.60,521251.52,18.40%
60, HyuN,"Ko, Seok Hyun",91587.34,235535.11,38.88%
61, Bomber,"Choi, Ji Sung",90617.67,258335.13,35.08%
62, ClearLove,"Ming, Kai",90312.71,443086.78,20.38%
63, Koro1,"Tong, Yang",90312.71,260755.41,34.64%
64, TaeJa,"Yoon, Young Suh",84627.44,291216.63,29.06%
65, Fzzf,"Feng, Zhuojun",83890.55,164821.18,50.90%
66, NaMei,"Zhu, Jia Wen",83890.55,141938.87,59.10%
67, U,"Ceng, Long",83890.55,107432.88,78.09%
68, Infi,"Wang, Xu Wen",82964.57,311631.92,26.62%
69, Apdo,"Jeong, Sang Gil",81616.50,81616.50,100.00%
70, FATA,Adrian Trinks,81428.12,1124360.82,7.24%
71, inSec,"Choi, In Seok",80263.89,134644.84,59.61%
72, N0tail,Johan Sundstein,79872.93,3733970.56,2.14%
73, Fear,Clinton Loomis,78512.09,2497460.84,3.14%
74, Uzi,"Jian, Zihao",74330.46,484733.39,15.33%
75, Black^,Dominik Reitmeier,73937.43,236342.62,31.28%
76, dade,"Bae, Eo Jin",72715.18,118986.53,61.11%
77, EGM,Jerry Lundqvist,71688.60,672272.00,10.66%
78, Nameless,Anthony Wheeler,71112.45,128788.41,55.22%
79, MerK,Joseph DeLuca,70362.45,238496.55,29.50%
80, Corn,"Lei, Wen",67878.98,82070.17,82.71%
81, Deft,"Kim, Hyuk Kyu",67789.40,320416.66,21.16%
82, san,"Kang, Cho-Won",67785.26,106940.09,63.39%
83, Loda,Jonathan Berg,66988.39,700205.01,9.57%
84, MC,"Jang, Min Chul",66472.76,506802.16,13.12%
85, Polt,"Choi, Sung Hoon",66430.09,451904.48,14.70%
86, Spirit,"Lee, Da Yoon",66226.67,121968.76,54.30%
87, Snute,Jens Aasgaard,65640.78,371843.71,17.65%
88, AdmiralBulldog,Henrik Ahnberg,65200.99,630338.79,10.34%
89, Akke,Joakim Akterhall,65107.39,645138.99,10.09%
90, Acorn,"Choi, Cheon Ju",64581.44,109619.63,58.91%
91, Zero,"Yoon, Kyung Sup",64368.03,229438.65,28.05%
92, StarDust,"Son, Seok Hee",63482.16,111579.95,56.89%
93, soO,"Eu, Yoon Su",63382.09,395252.18,16.04%
94, Jaedong,"Lee, Jae Dong",62947.64,637540.35,9.87%
95, Cola,"Jiang, Na",62359.39,64296.04,96.99%
96, Heart,"Lee, Kwan Hyung",61367.24,75509.93,81.27%
97, VANSKOR,Ivan Skorokhod,60194.18,134450.76,44.77%
98, MiSeRy,Rasmus Fillipsen,59462.63,1451611.72,4.10%
99, Morning,"Chen, Kuan Ting",58666.92,86907.07,67.51%
100, Jay,"Li, Chieh",58666.92,75696.57,77.50%
