,Player ID,Player Name,Total (Year),Total (Overall),% of Tota
1, iceice,Li Peng,1923676.32,1998972.63,96.23%
2, y`,Zhang Yiping,1923676.32,1972790.10,97.51%
3, Faith_bian,Zhang Ruida,1923676.32,1972729.68,97.51%
4, Shadow,Chu Zeyu,1923676.32,1956758.12,98.31%
5, bLink,Zhou Yang,1923676.32,1955423.02,98.38%
6, MiSeRy,Rasmus Fillipsen,982899.00,1451611.72,67.71%
7, w33,Aliwi Omar,982899.00,1243919.18,79.02%
8, Resolut1on,Roman Fominok,759557.82,1377248.75,55.15%
9, Saksa,Martin Sazdov,758973.40,871468.35,87.09%
10, Moo,David Hull,719142.60,758423.86,94.82%
11, SumaiL,Sumail Hassan,658860.80,3285914.94,20.05%
12, UNiVeRsE,Saahil Arora,654797.00,3030735.67,21.61%
13, N0tail,Johan Sundstein,583028.80,3733970.56,15.61%
14, Fly,Tal Aizik,583028.80,1992585.80,29.26%
15, ppd,Peter Dager,557969.60,2896266.36,19.27%
16, Fear,Clinton Loomis,557969.60,2497460.84,22.34%
17, JerAx,Jesse Vainikka,555163.20,3306463.82,16.79%
18, Zai,Ludwig W?hlberg,540070.80,1690062.05,31.96%
19, Cr1t,Andreas Nielsen,471170.00,1603299.00,29.39%
20, MoonMeander,David Tan,427126.60,829587.76,51.49%
21, Duke,"Lee, Ho Seong",422755.33,646449.09,65.40%
22, Wolf,"Lee, Jae Wan",420169.33,913084.70,46.02%
23, Bang,"Bae, Jun Sik",420169.33,910451.46,46.15%
24, Faker,"Lee, Sang Hyeok",418365.33,1175068.35,35.60%
25, Blank,"Kang, Sun Gu",418365.33,559518.75,74.77%
26, MidOne,Zheng Yeik Nai,411258.20,1090378.27,37.72%
27, DJ,Djardel Jicko Mampusti,404708.20,617007.11,65.59%
28, Ohaiyo,"Chong, Xin Khoo",392328.20,582526.49,67.35%
29, Miracle-,Amer Al-Barkawi,390678.80,3671337.28,10.64%
30, Mushi,"Chai, Yee Fung",384828.20,1019063.42,37.76%
31, FalleN,Gabriel Toledo,368494.79,883126.44,41.73%
32, coldzera,Marcelo David,366194.79,863573.42,42.40%
33, fer,Fernando Alvarenga,365794.79,873467.48,41.88%
34, TACO,Epit?cio de Melo,365794.79,855381.85,42.76%
35, KuroKy,Kuro Takhasomi,362813.20,4098926.95,8.85%
36, MinD_ContRoL,Ivan Ivanov,362813.20,3454411.76,10.50%
37, Matumbaman,Lasse Urpalainen,362813.20,3438116.04,10.55%
38, Bengi,"Bae, Seong Ung",358365.33,810683.00,44.21%
39, fnx,Lincoln Lau,353194.79,423060.98,83.49%
40, MP,"Pyo, Noah",351489.65,550679.73,63.83%
41, 343,Adam Shah,349748.80,371920.98,94.04%
42, Forev,"Lee, Sang Don",349739.65,512133.37,68.29%
43, QO,"Kim, Sunyeob",347826.09,589224.76,59.03%
44, DuBu,"Kim, Du Young",347826.09,453212.00,76.75%
