,PlayerID,Player Name,Total (Year),Total (Overall),% of Tota
1, KuroKy,Kuro Takhasomi,2436772.4,4098926.95,59.45%
2, Miracle-,Amer Al-Barkawi,2421583.03,3671337.28,65.96%
3, MinD_ContRoL,Ivan Ivanov,2421272.4,3454411.76,70.09%
4, GH,Maroun Merhej,2420658.78,3057344.84,79.18%
5, Matumbaman,Lasse Urpalainen,2416772.4,3438116.04,70.29%
6, kpii,Damien Chok,947605.69,1523861.05,62.18%
7, Faith,"Zeng, Hongda",945805.69,1740145.81,54.35%
8, KaKa,Zhi Hu,945805.69,1493963.18,63.31%
9, Moogy,Xun Han,945805.69,1209717.7,78.18%
10, Sccc,"Song, Chun",945805.69,1194538.02,79.18%
11, Super,"Xie, Junhao",556623.34,1578297.98,35.27%
12, Monet,Du Peng,556323.34,585993.13,94.94%
13, DDC,"Liang, Fa Ming",556230.54,1333773.07,41.70%
14, Inflame,He Yongzheng,554487.54,600434.05,92.35%
15, Ah-fu,Chuan Tue,550412.87,597441.55,92.13%
16, RAMZES666,Roman Kushnarev,523615.14,1438941.19,36.39%
17, 9pasha,Pavel Khvastunov,503156.81,1436223.84,35.03%
18, No[o]ne,Vladimir Minenko,497956.81,1289267.72,38.62%
19, Lil,Ilya Ilyuk,496756.81,902808.79,55.02%
20, Solo,Alexei Berezin,473156.81,1443945.88,32.77%
21, s4,Gustav Magnusson,422042.4,2186343.71,19.30%
22, eLeVeN,Ren Yangwei,402666.57,934082.63,43.11%
23, N0tail,Johan Sundstein,402042.4,3733970.56,10.77%
24, JerAx,Jesse Vainikka,402042.4,3306463.82,12.16%
25, Fly,Tal Aizik,402042.4,1992585.8,20.18%
26, Somnus?M,Lu Yao,392314.75,2241924.22,17.50%
27, Ame,Wang Chunyu,392314.75,1523508.84,25.75%
28, Yao,"Yao, Zhengzheng",392314.75,1190497.56,32.95%
29, Victoria,Chen Guanhong,378114.75,415657.52,90.97%
30, TY,"Jun, Tae Yang",374008.54,549379.65,68.08%
31, ana,Anathan Pham,364942.4,2852790.73,12.79%
32, BoBoKa,Ye Zhibiao,364141.33,446226.78,81.60%
33, Q,"Fu, Bin",344141.33,1077085.38,31.95%
34, Xxs,Lin Jing,344141.33,426146.25,80.76%
35, Op,Ou Peng,344141.33,356626.88,96.50%
36, BurNIng,"Xu, Zhilei",336750.4,894602.63,37.64%
37, Crown,"Lee, Min Ho",322780.29,474037.81,68.09%
38, Rogue,"Lee, Byung Ryul",321146.35,611507.2,52.52%
39, Ambition,"Kang, Chan Yong",318301.74,544484.2,58.46%
40, CuVee,"Lee, Seong Jin",318301.74,470880.31,67.60%
41, CoreJJ,"Jo, Yong In",318301.74,470075.34,67.71%
42, Ruler,"Park, Jae Hyuk",318301.74,467536.69,68.08%
43, Haru,"Kang, Min Seung",316301.74,326047.71,97.01%
44, FalleN,Gabriel Toledo,311554.88,883126.44,35.28%
45, fer,Fernando Alvarenga,311554.88,873467.48,35.67%
46, coldzera,Marcelo David,311554.88,863573.42,36.08%
47, TACO,Epit?cio de Melo,311554.88,855381.85,36.42%
48, rain,H?vard Nygaard,304107.14,579546.24,52.47%
49, NiKo,Nikola Kova?,301857.14,575355.13,52.46%
50, karrigan,Finn Andersen,301607.14,753230.77,40.04%
51, FormaL,Matthew Piper,294550,588194.68,50.08%
52, kennyS,Kenny Schrub,292500,529037.05,55.29%
53, Xyp9x,Andreas H?jsleth,291933.33,1040331.8,28.06%
54, dupreeh,Peter Rasmussen,291933.33,1035922.74,28.18%
55, gla1ve,Lukas Rossander,291933.33,875096.85,33.36%
56, Kjaerbye,Markus Kj?rbye,291933.33,540767.17,53.99%
57, KuKU,Kuku Palad,288279.6,499044.23,57.77%
58, sam_H,Sam Enojosa Hidalgo,288279.6,476334.78,60.52%
59, Raven,Marc Polo Luis Fausto,288279.6,472393.1,61.03%
60, Tims,Timothy Randrup,288279.6,376293.35,76.61%
61, apEX,Dan Madesclaire,285000,531586.3,53.61%
62, NBK,Nathan Schmitt,282500,606362.49,46.59%
63, Peanut,"Han, Wang Ho",278533.58,456308.64,61.04%
64, XHope,"-, -",275541.34,281225.18,97.98%
65, Faker,"Lee, Sang Hyeok",271894.37,1175068.35,23.14%
66, Wolf,"Lee, Jae Wan",271894.37,913084.7,29.78%
67, Bang,"Bae, Jun Sik",271894.37,910451.46,29.86%
68, Huni,"Heo, Seung Hoon",270351.03,336470.08,80.35%
69, Karma,Damon Barlow,269500,707022.25,38.12%
70, Crimsix,Ian Porter,269500,682651.14,39.48%
71, Scump,Seth Abner,269500,584793.68,46.08%
72, olofmeister,Olof Kajbjer,264300,733069.01,36.05%
73, Puppey,Clement Ivanov,262463.8,2029249.83,12.93%
74, dev1ce,Nicolai Reedtz,261933.33,1004545.97,26.07%
75, MidOne,Zheng Yeik Nai,260063.8,1090378.27,23.85%
76, GuardiaN,Ladislav Kov?cs,254650,700525.32,36.35%
77, MenaRD,Saul Leonardo Mena Segundo,254417.92,254917.92,99.80%
78, SumaiL,Sumail Hassan,250795,3285914.94,7.63%
79, HugeGorilla,Spencer Ealing,250000,320696.96,77.96%
80, Yapzor,Yazied Jaradat,246963.8,709149.87,34.83%
81, Arteezy,Artour Babaev,234295,1853442.81,12.64%
82, Ace,Marcus Hoelgaard,233412.85,622372.32,37.50%
83, Cr1t,Andreas Nielsen,232795,1603299,14.52%
84, UNiVeRsE,Saahil Arora,229795,3030735.67,7.58%
85, BonoHuis,Bono Huis,225000,225000,100.00%
86, Resolut1on,Roman Fominok,218239.6,1377248.75,15.85%
87, Zai,Ludwig W?hlberg,214420.61,1690062.05,12.69%
88, Happy,Vincent Schopenhauer,210053.72,487941.49,43.05%
89, SIXER,Christophe Xia,208803.72,261395.11,79.88%
90, GuiFera,Guilherme Fonseca,206000,211651.21,97.33%
91, Punk,Victor Woodley,200920,210528,95.44%
92, boltz,Ricardo Prass,193361.11,338240.82,57.17%
93, soO,"Eu, Yoon Su",191715.65,395252.18,48.50%
94, Dragon,Ryan Walker,188975.3,220601.3,85.66%
95, FATA,Adrian Trinks,187088,1124360.82,16.64%
96, Clawz,Nikita Marchinsky,183500,247002.5,74.29%
97, Ryo,Ryo Hasegawa,178500,249948.28,71.41%
98, neo,Filip Kubski,178364.88,726229.79,24.56%
99, TaZ,Wiktor Wojtas,178364.88,708672.54,25.17%
100, pashaBiceps,Jaros?aw Jarz?bkowski,178364.88,622061.66,28.67%
