TeamId,TeamName,TotalUSDPrize,TotalTournaments
102,"Team Liquid",24486280.09,1435
101,"Evil Geniuses",20860537.81,742
419,"Team OG",17563028.05,50
210,Newbee,12834452.61,130
185,Virtus.pro,12095195.20,439
118,Fnatic,11985032.95,793
507,"Wings Gaming",9718637.87,22
169,"Vici Gaming",9423057.90,256
227,"LGD Gaming",8712045.49,122
145,"SK Telecom T1",8572612.45,212
124,"Invictus Gaming",8526125.05,389
163,"Natus Vincere",8251608.01,401
211,"Team Secret",7643947.84,129
212,Cloud9,7642400.43,617
231,"OpTic Gaming",7130137.32,278
132,MVP,5980247.71,472
216,"Team EnVyUs",5889771.02,305
240,"FaZe Clan",5840800.08,233
112,"SK Gaming",5675475.64,607
623,"Paris Saint-Germain Esports",5391155.18,35
144,Samsung,5255289.34,348
466,"Astralis (Danish)",4509102.15,57
383,"Digital Chaos",4403125.82,28
261,Alliance,4321570.80,279
111,mousesports,3768971.67,826
256,"G2 Esports",3691956.34,332
300,"CDEC Gaming",3565769.38,40
225,EHOME,3439659.99,69
117,"Team Dignitas",3430228.80,537
317,"Luminosity Gaming",3150862.24,245
104,"compLexity Gaming",3095717.90,481
162,"Ninjas in Pyjamas",3035167.70,246
207,"Counter Logic Gaming",2983443.24,397
196,"Team SoloMid",2852725.10,371
343,"Royal Never Give Up",2781640.17,30
311,"EDward Gaming",2772785.12,96
382,Splyce,2725872.88,372
177,"KT Rolster",2692668.06,213
561,"TnC Gaming",2443291.94,35
123,"World Elite",2186867.20,196
181,"Jin Air Green Wings",2073058.28,254
115,"Team Empire",2071632.41,402
425,"NRG Esports",2047911.24,182
283,"COGnitive Gaming",2011741.16,178
184,"Flash Wolves",1902590.94,176
103,Millenium,1794666.05,548
285,"Team DK",1763393.02,41
192,"Gambit Esports",1725885.59,91
213,"Taipei Assassins",1526885.45,24
141,"CJ Entus",1524656.42,186
195,"Epsilon eSports",1476744.40,199
344,OMG,1471547.84,56
427,Mineski,1441426.64,64
451,"Echo Fox",1437214.65,307
830,"Ghost Gaming",1384060.13,75
209,HellRaisers,1367054.09,111
663,eUnited,1328857.50,78
814,"Gen.G esports",1288694.00,13
131,"Incredible Miracle",1261825.41,162
126,TyLoo,1245498.41,131
776,"London Spitfire",1200000.00,3
337,"Tempo Storm",1171801.34,366
322,"Team Kinguin",1087591.84,92
172,"Denial Esports",1070855.82,182
581,"Russian National Team",1048668.44,19
267,"ROX Gaming",1000494.54,24
385,"ENCE eSports",979965.74,142
403,"ahq e-Sports Club",930736.02,57
548,Method,925728.37,94
826,"Rise Nation",924444.00,48
411,Immortals,904296.49,132
205,"PENTA Sports",901797.80,208
396,"paiN Gaming",886776.28,72
319,"Vega Squadron",884731.26,144
119,"Meet Your Makers",881115.96,255
657,North,871149.11,50
194,"Titan eSports",858995.17,77
621,Ballistix,855000.00,10
234,Elevate,830777.23,153
338,Renegades,793095.53,129
113,"ALTERNATE aTTaX",790240.78,349
529,Misfits,778089.46,158
546,"Team expert",771195.24,260
251,"Team Vitality",768886.97,83
215,"FlipSid3 Tactics",762399.88,241
136,StarTale,758039.80,138
342,"Star Horn Royal Club",748871.32,33
420,"Space Soldiers",744255.56,75
193,"Team LDLC.com",743986.98,165
114,mTw,741737.86,248
221,"Made in Brazil",730151.08,50
530,"Team Allegiance",722276.81,70
287,H2K,711162.48,48
365,"Str8 Rippin",704915.45,87
153,"ROOT Gaming",698934.01,606
241,"Team KaLiBeR",676211.05,58
109,"Team Acer",657469.71,528
768,"New York Excelsior",650000.00,6
168,mYinsanity,646373.68,461
142,"Hwaseung OZ",637798.56,45
