PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,Highest Paying Game
3145,Kuro,Takhasomi,KuroKy,de,4098926.95,Dota 2
3304,Johan,Sundstein,N0tail,dk,3733970.56,Dota 2
14671,Amer,Al-Barkawi,Miracle-,jo,3671337.28,Dota 2
12579,Ivan,Ivanov,MinD_ContRoL,bg,3454411.76,Dota 2
12133,Lasse,Urpalainen,Matumbaman,fi,3438116.04,Dota 2
3822,Jesse,Vainikka,JerAx,fi,3306463.82,Dota 2
14196,Sumail,Hassan,SumaiL,pk,3285914.94,Dota 2
25335,Maroun,Merhej,GH,lb,3057344.84,Dota 2
2615,Saahil,Arora,UNiVeRsE,us,3030735.67,Dota 2
5194,Peter,Dager,ppd,us,2896266.36,Dota 2
30451,Anathan,Pham,ana,au,2852790.73,Dota 2
2610,Clinton,Loomis,Fear,us,2497460.84,Dota 2
2811,Sébastien,Debs,7ckngMad,fr,2324511.78,Dota 2
18897,Topias,Taavitsainen,Topson,fi,2250909.97,Dota 2
10188,Lu,Yao,Somnus?M,cn,2241924.22,Dota 2
3524,Gustav,Magnusson,s4,se,2186343.71,Dota 2
4033,Linsen,Xu,fy,cn,2138733.44,Dota 2
2578,Clement,Ivanov,Puppey,ee,2029249.83,Dota 2
14238,Li,Peng,iceice,cn,1998972.63,Dota 2
3305,Tal,Aizik,Fly,il,1992585.8,Dota 2
3256,Kurtis,Ling,Aui_2000,ca,1973978.04,Dota 2
10712,Zhang,Yiping,y`,cn,1972790.1,Dota 2
26513,Zhang,Ruida,Faith_bian,cn,1972729.68,Dota 2
26512,Chu,Zeyu,Shadow,cn,1956758.12,Dota 2
10711,Zhou,Yang,bLink,cn,1955423.02,Dota 2
4028,Artour,Babaev,Arteezy,ca,1853442.81,Dota 2
2596,Ning,Zhang,xiao8,cn,1824534.96,Dota 2
3146,Zhihao,Chen,Hao,cn,1761646.83,Dota 2
3168,Hongda,Zeng,Faith,cn,1740145.81,Dota 2
5195,Ludwig,Wåhlberg,Zai,se,1690062.05,Dota 2
9515,Andreas,Nielsen,Cr1t,dk,1603299,Dota 2
3161,Junhao,Xie,Super,cn,1578297.98,Dota 2
15530,Damien,Chok,kpii,au,1523861.05,Dota 2
26665,Wang,Chunyu,Ame,cn,1523508.84,Dota 2
10080,Zhi,Hu,KaKa,cn,1493963.18,Dota 2
2589,Rasmus,Fillipsen,MiSeRy,dk,1451611.72,Dota 2
3773,Alexei,Berezin,Solo,ru,1443945.88,Dota 2
16814,Roman,Kushnarev,RAMZES666,ru,1438941.19,Dota 2
13322,Pavel,Khvastunov,9pasha,ru,1436223.84,Dota 2
3147,Pan,Zhang,Mu,cn,1390711.71,Dota 2
3946,Roman,Fominok,Resolut1on,ua,1377248.75,Dota 2
1949,Daryl Pei Xiang,Koh,iceiceice,sg,1377071.76,Dota 2
4030,Chao,Lu,Fenrir,cn,1374082.28,Dota 2
2598,Fa Ming,Liang,DDC,mo,1333773.07,Dota 2
13323,Vladimir,Minenko,No[o]ne,ua,1289267.72,Dota 2
3813,Wang,Jiao,Banana,cn,1279561.36,Dota 2
13080,Aliwi,Omar,w33,ro,1243919.18,Dota 2
2594,Zhaohui,Wang,SanSheng,cn,1218081.38,Dota 2
10722,Xun,Han,Moogy,cn,1209717.7,Dota 2
19382,Chun,Song,Sccc,cn,1194538.02,Dota 2
3164,Zhengzheng,Yao,Yao,cn,1190497.56,Dota 2
3163,Jiajun,Liu,Sylar,cn,1177489,Dota 2
3832,Sang Hyeok,Lee,Faker,kr,1175068.35,League of Legends
2582,Zhicheng,Zhang,LaNm,cn,1167609.91,Dota 2
22207,Jianwei,Yap,xNova,my,1126528.34,Dota 2
3690,Adrian,Trinks,FATA,de,1124360.82,Dota 2
2581,Zengrong,Lei,MMY!,cn,1112600.81,Dota 2
33561,Shenyi,Yang,Chalice,cn,1092635.24,Dota 2
27134,Zheng,Yeik Nai,MidOne,my,1090378.27,Dota 2
12671,Bin,Fu,Q,cn,1077085.38,Dota 2
3679,Andreas,Højsleth,Xyp9x,dk,1040331.8,Counter-Strike: Global Offensive
3883,Peter,Rasmussen,dupreeh,dk,1035922.74,Counter-Strike: Global Offensive
3151,Yee Fung,Chai,Mushi,my,1019063.42,Dota 2
28142,Vladimir,Nikogosyan,RodjER,ru,1018046.2,Dota 2
