GameNames,AwardingPrizeMoney,NumberOfPlayers,NumberOfTournament
Dota 2,172207764,2785 Players,1030 Tournaments
Counter-Strike: Global Offensive,65690670,10644 Players,3673 Tournaments
League of Legends,59217522,5962 Players,2174 Tournaments
StarCraft II,28468154,1863 Players,5188 Tournaments
Fortnite,18840982,1185 Players,140 Tournaments
Heroes of the Storm,17866260,1167 Players,441 Tournaments
Hearthstone,14932501,2079 Players,806 Tournaments
Counter-Strike,12502912,3550 Players,853 Tournaments
Overwatch,12006183,2855 Players,625 Tournaments
SMITE,8590113,513 Players,94 Tournaments
StarCraft: Brood War,7732722,632 Players,526 Tournaments
PLAYERUNKNOWN’S BATTLEGROUNDS,7256790,1218 Players,105 Tournaments
Halo 5: Guardians,7071481,231 Players,75 Tournaments
WarCraft III,5302326,558 Players,1274 Tournaments
World of WarCraft,4499838,405 Players,113 Tournaments
Call of Duty: World War II,4440434,199 Players,56 Tournaments
Call of Duty: Infinite Warfare,4151666,314 Players,75 Tournaments
CrossFire,3966183,571 Players,289 Tournaments
Call of Duty: Black Ops III,3868654,390 Players,74 Tournaments
Rocket League,3823041,444 Players,242 Tournaments
World of Tanks,3656497,403 Players,49 Tournaments
Counter-Strike: Source,3079264,1464 Players,324 Tournaments
Heroes of Newerth,2856207,805 Players,368 Tournaments
Super Smash Bros. Melee,2763240,1636 Players,2420 Tournaments
Call of Duty: Advanced Warfare,2598295,769 Players,401 Tournaments
Gears of War 4,2525285,110 Players,35 Tournaments
Rainbow Six Siege,2441268,309 Players,40 Tournaments
Street Fighter V,2238185,226 Players,107 Tournaments
FIFA 18,2224265,247 Players,41 Tournaments
H1Z1,2067122,115 Players,13 Tournaments
Quake Champions,1923008,195 Players,182 Tournaments
Halo 3,1832079,163 Players,32 Tournaments
Call of Duty: Ghosts,1572642,156 Players,74 Tournaments
Halo 2,1489362,119 Players,71 Tournaments
FIFA 17,1478189,150 Players,44 Tournaments
Call of Duty: Black Ops 2,1456800,167 Players,51 Tournaments
FIFA Online 3,1434342,88 Players,9 Tournaments
Arena of Valor,1383455,112 Players,12 Tournaments
Super Smash Bros. for Wii U,1382224,1076 Players,828 Tournaments
Clash Royale,1236520,129 Players,26 Tournaments
Quake III Arena,1137832,243 Players,100 Tournaments
Call of Duty: Modern Warfare 3,1095195,158 Players,35 Tournaments
Magic: the Gathering Online,1018000,112 Players,9 Tournaments
Painkiller,1015000,48 Players,13 Tournaments
Madden NFL 2017,1004000,42 Players,5 Tournaments
rFactor 2,1000000,30 Players,1 Tournament
Turbo Racing League,1000000,16 Players,9 Tournaments
Defense of the Ancients,857421,459 Players,94 Tournaments
Vainglory,797421,247 Players,35 Tournaments
Halo: Reach,772090,97 Players,28 Tournaments
Ultra Street Fighter IV,738301,200 Players,213 Tournaments
Paladins,720027,167 Players,25 Tournaments
Street Fighter V: Arcade Edition,704449,85 Players,33 Tournaments
Quake Live,682294,213 Players,410 Tournaments
Injustice 2,673644,40 Players,15 Tournaments
Age of Empires II: The Age of Kings,669933,263 Players,83 Tournaments
Gwent,644557,305 Players,105 Tournaments
Team Fortress 2,571806,792 Players,126 Tournaments
KartRider,567366,76 Players,20 Tournaments
Quake 4,556679,100 Players,52 Tournaments
Mortal Kombat X,523052,97 Players,61 Tournaments
Pro Evolution Soccer 2017,514698,39 Players,16 Tournaments
Dead or Alive 4,497745,45 Players,13 Tournaments
Tekken 7,496600,121 Players,48 Tournaments
Guild Wars 2,476006,152 Players,57 Tournaments
Halo 2 Anniversary,468705,97 Players,20 Tournaments
FIFA 13,457828,50 Players,61 Tournaments
Halo 4,430749,66 Players,19 Tournaments
Call of Duty 4: Modern Warfare,419371,414 Players,85 Tournaments
Point Blank,415168,250 Players,29 Tournaments
Blade & Soul,409356,51 Players,5 Tournaments
Counter-Strike Online,406990,70 Players,12 Tournaments
Brawlhalla,406459,328 Players,201 Tournaments
Madden NFL 2013,400000,8 Players,1 Tournament
NBA 2K18,400000,78 Players,3 Tournaments
Call of Duty: Black Ops,346393,117 Players,21 Tournaments
Super Street Fighter IV Arcade Edition,343878,153 Players,202 Tournaments
Call of Duty: Black Ops 4,308185,63 Players,14 Tournaments
Halo: Combat Evolved,299281,114 Players,39 Tournaments
Project Gotham Racing 3,297287,33 Players,10 Tournaments
World in Conflict,293338,36 Players,11 Tournaments
Madden NFL 2018,279677,40 Players,3 Tournaments
Realm Royale,263000,47 Players,9 Tournaments
ShootMania Storm,261687,80 Players,40 Tournaments
Doom 3,257748,14 Players,4 Tournaments
Gears of War,252196,33 Players,18 Tournaments
Battlefield 4,245766,204 Players,145 Tournaments
Super Smash Bros. Brawl,241364,479 Players,329 Tournaments
FIFA 07,237812,42 Players,13 Tournaments
Forza Motorsport 2,222000,17 Players,2 Tournaments
Killer Instinct (2013),219017,120 Players,43 Tournaments
Pok?mon VGC,211500,170 Players,24 Tournaments
FIFA 08,207130,68 Players,17 Tournaments
Project M,193643,522 Players,308 Tournaments
F.E.A.R.,177500,20 Players,5 Tournaments
Rainbow Six: Vegas,176401,137 Players,7 Tournaments
Gears of War: Ultimate Edition,170000,39 Players,3 Tournaments
Age of Empires,162959,224 Players,80 Tournaments
iRacing.com,152157,55 Players,14 Tournaments
MechWarrior Online,143490,0 Players,1 Tournament
